model,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,19.98,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,14.73,14.91,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,21.28,21.06,22.68,-999.00,-999.00,-999.00,-999.00,-999.00,-1.34,14.49,-999.00,-999.00
CESM2,19.67,20.09,-999.00,20.65,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-CM5, 0.00,-999.00,26.60,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.00,-999.00,-999.00
CNRM-CM6-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
COSMOS-ASO,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3L-1-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-EARTH-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,14.99,16.37,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-999.00, 9.97,-999.00,25.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-g2,23.65,23.28,38.17,-999.00,-999.00,-999.00,-999.00,-999.00,-0.67,19.80,-999.00,-999.00
FGOALS-g3,-999.00,33.95,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-1-G,25.58,25.75,-999.00,26.30,-999.00,-999.00,-999.00,-999.00,-0.55, 2.23,-999.00,-999.00
GISS-E2-R,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadCM3,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,20.32,19.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
IPSL-CM5A-LR,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
IPSL-CM6A-LR,12.13,11.59,-999.00,10.29,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
LOVECLIM,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ESM,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM1-2-LR,20.11,20.08,25.04,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,12.42,-999.00,-999.00
MPI-ESM-P,19.48,20.04,22.66,-999.00,-999.00,-999.00,-999.00,-999.00,-1.27,12.40,-999.00,-999.00
MRI-CGCM3,15.04,15.95,23.72,-999.00,-999.00,-999.00,-999.00,-999.00,-0.95,10.66,-999.00,-999.00
MRI-ESM2-0,18.35,20.56,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
NESM3,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
NorESM1-F,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,21.66,21.94,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
UofT-CCSM-4,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
