model,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,507.50,-999.00,-999.00,-999.00,500.43,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,727.02,654.26,-999.00,-999.00,-999.00,637.17,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CESM2,534.22,375.83,-999.00,-999.00,-999.00,362.31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-CM5,708.18,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-CM6-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
COSMOS-ASO,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,1016.50,918.14,-999.00,-999.00,-999.00,921.25,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3L-1-2,589.12,493.14,-999.00,-999.00,-999.00,485.44,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-EARTH-2-2,1147.59,1103.87,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,885.75,712.93,-999.00,-999.00,-999.00,715.58,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-999.00,419.38,-999.00,-999.00,-999.00,393.39,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-g2,774.01,744.33,-999.00,-999.00,-999.00,739.10,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-g3,879.28,919.43,-999.00,-999.00,-999.00,904.58,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,818.07,722.99,-999.00,-999.00,-999.00,715.98,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-1-G,874.11,725.80,-999.00,-999.00,-999.00,710.02,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-R,526.71,298.00,-999.00,-999.00,-999.00,272.46,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadCM3,452.74,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,614.17,374.72,-999.00,-999.00,-999.00,359.30,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,446.27,242.80,-999.00,-999.00,-999.00,227.65,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM3-GC31,-999.00,327.02,-999.00,-999.00,-999.00,308.23,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,765.95,701.91,-999.00,-999.00,-999.00,689.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
IPSL-CM5A-LR,701.96,570.61,-999.00,-999.00,-999.00,575.33,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
IPSL-CM6A-LR,622.30,557.51,-999.00,-999.00,-999.00,559.57,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
LOVECLIM,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,423.28,367.76,-999.00,-999.00,-999.00,373.37,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ESM,552.14,500.30,-999.00,-999.00,-999.00,497.72,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM1-2-LR,546.06,-999.00,-999.00,-999.00,-999.00,434.81,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P,582.64,464.97,-999.00,-999.00,-999.00,456.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MRI-CGCM3,665.04,-999.00,-999.00,-999.00,-999.00,377.49,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MRI-ESM2-0,519.30,-999.00,-999.00,-999.00,-999.00,392.87,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
NESM3,518.18,-999.00,-999.00,-999.00,-999.00,324.73,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
NorESM1-F,513.04,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,602.72,-999.00,-999.00,-999.00,-999.00,478.69,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
UofT-CCSM-4,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
